method,method_label,map,scenario,agents,success_rate,n_cases
ir,IR-TAPF,Boston_0_256,000,15,1.0,20
ir,IR-TAPF,Boston_0_256,000,20,1.0,20
ir,IR-TAPF,Boston_0_256,000,25,1.0,20
ir,IR-TAPF,Boston_0_256,000,30,1.0,20
ir,IR-TAPF,Boston_0_256,000,35,1.0,20
ir,IR-TAPF,Boston_0_256,000,40,1.0,20
ir,IR-TAPF,Boston_0_256,000,45,1.0,20
ir,IR-TAPF,Boston_0_256,000,50,1.0,20
ir,IR-TAPF,Boston_0_256,000,55,0.85,20
ir,IR-TAPF,Boston_0_256,000,60,0.35,20
ir,IR-TAPF,Boston_0_256,030,15,1.0,20
ir,IR-TAPF,Boston_0_256,030,20,1.0,20
ir,IR-TAPF,Boston_0_256,030,25,1.0,20
ir,IR-TAPF,Boston_0_256,030,30,1.0,20
ir,IR-TAPF,Boston_0_256,030,35,1.0,20
ir,IR-TAPF,Boston_0_256,030,40,1.0,20
ir,IR-TAPF,Boston_0_256,030,45,1.0,20
ir,IR-TAPF,Boston_0_256,030,50,1.0,20
ir,IR-TAPF,Boston_0_256,030,55,1.0,20
ir,IR-TAPF,Boston_0_256,030,60,0.9,20
ir,IR-TAPF,Boston_0_256,060,15,1.0,20
ir,IR-TAPF,Boston_0_256,060,20,1.0,20
ir,IR-TAPF,Boston_0_256,060,25,1.0,20
ir,IR-TAPF,Boston_0_256,060,30,1.0,20
ir,IR-TAPF,Boston_0_256,060,35,1.0,20
ir,IR-TAPF,Boston_0_256,060,40,1.0,20
ir,IR-TAPF,Boston_0_256,060,45,1.0,20
ir,IR-TAPF,Boston_0_256,060,50,1.0,20
ir,IR-TAPF,Boston_0_256,060,55,1.0,20
ir,IR-TAPF,Boston_0_256,060,60,1.0,20
ir,IR-TAPF,Boston_0_256,100,15,1.0,20
ir,IR-TAPF,Boston_0_256,100,20,1.0,20
ir,IR-TAPF,Boston_0_256,100,25,1.0,20
ir,IR-TAPF,Boston_0_256,100,30,1.0,20
ir,IR-TAPF,Boston_0_256,100,35,1.0,20
ir,IR-TAPF,Boston_0_256,100,40,1.0,20
ir,IR-TAPF,Boston_0_256,100,45,1.0,20
ir,IR-TAPF,Boston_0_256,100,50,0.95,20
ir,IR-TAPF,Boston_0_256,100,55,1.0,20
ir,IR-TAPF,Boston_0_256,100,60,1.0,20
ir,IR-TAPF,Boston_0_256,G,10,1.0,20
ir,IR-TAPF,Boston_0_256,G,20,1.0,20
ir,IR-TAPF,Boston_0_256,G,30,1.0,20
ir,IR-TAPF,Boston_0_256,G,40,1.0,20
ir,IR-TAPF,Boston_0_256,G,50,1.0,20
ir,IR-TAPF,Boston_0_256,G,60,1.0,20
ir,IR-TAPF,Boston_0_256,G,70,1.0,20
ir,IR-TAPF,Boston_0_256,G,80,1.0,20
ir,IR-TAPF,Boston_0_256,G,90,1.0,20
ir,IR-TAPF,Boston_0_256,G,100,1.0,20
ir,IR-TAPF,Boston_0_256,G,110,1.0,20
