scenario,map_name,target_mode,method,agents,seed,solved,soc,sum_shortest_distances,normalized_cost,initial_solution_cost,first_solution_cost,effective_initial_cost,improvement_pct,wall_time_s
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,29,1,634,612,1.0359477124183007,,634,634.0,0.0,9.18149447441101
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,2,1,632,616,1.025974025974026,,632,632.0,0.0,9.160996675491333
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,18,1,617,606,1.018151815181518,,617,617.0,0.0,9.30566692352295
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,7,1,620,607,1.0214168039538716,,621,621.0,0.1610305958132045,9.326582908630371
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,4,1,629,616,1.021103896103896,,629,629.0,0.0,9.52257251739502
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,11,1,620,607,1.0214168039538716,,620,620.0,0.0,9.524639368057251
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,19,1,621,613,1.0130505709624795,,621,621.0,0.0,9.652821063995361
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,10,1,618,607,1.0181219110378912,,619,619.0,0.16155088852988692,9.709255695343018
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,24,1,628,611,1.027823240589198,,629,629.0,0.1589825119236884,9.73357892036438
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,16,1,626,614,1.019543973941368,,625,625.0,-0.16,9.705899238586426
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,22,1,633,612,1.0343137254901962,,633,633.0,0.0,9.70677399635315
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,27,1,634,615,1.0308943089430895,,634,634.0,0.0,9.743537664413452
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,9,1,617,609,1.013136288998358,,619,619.0,0.32310177705977383,9.743953227996826
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,12,1,643,605,1.062809917355372,,642,642.0,-0.1557632398753894,9.777588129043579
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,17,1,613,605,1.0132231404958678,,615,615.0,0.3252032520325203,9.807061910629272
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,26,1,614,606,1.0132013201320131,,614,614.0,0.0,9.849192142486572
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,30,1,620,611,1.0147299509001637,,620,620.0,0.0,9.834447145462036
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,6,1,616,606,1.0165016501650166,,617,617.0,0.1620745542949757,9.86318302154541
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,1,1,636,611,1.0409165302782324,,637,637.0,0.15698587127158556,9.971105813980103
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,15,1,640,611,1.0474631751227497,,644,644.0,0.6211180124223602,9.93121337890625
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,400,6,1,1267,1215,1.042798353909465,,1270,1270.0,0.23622047244094488,9.794461250305176
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,14,1,630,611,1.0310965630114566,,630,630.0,0.0,9.980870008468628
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,25,1,627,613,1.0228384991843393,,627,627.0,0.0,10.006537199020386
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,200,5,1,630,613,1.0277324632952691,,631,631.0,0.15847860538827258,10.057114839553833
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,400,22,1,1308,1221,1.0712530712530712,,1308,1308.0,0.0,9.95307445526123
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,200,15,1,623,611,1.0196399345335516,656,,656.0,5.030487804878049,10.325817823410034
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,200,16,1,618,614,1.006514657980456,637,,637.0,2.9827315541601256,10.32964015007019
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,200,13,1,610,604,1.009933774834437,628,,628.0,2.8662420382165603,10.330004930496216
