agents,anytime,anytime_cost_updates,assignment_calls,assignment_changes,assignment_time_ms,collision_free,constraint_failures,constraints_generated,constraints_popped,exit_code,external_timed_out,final_agent_assignment_changes,final_assignment_changes,final_goals,first_solution_cost,first_solution_time_ms,fixture_file,focal_tie_break,focal_weight,force_full_assignment,goal_valid,hl_duplicate_configs,hl_loop_iterations,hl_nodes_created,hl_nodes_explored,hl_reinsertions,incumbent_updates,initial_solution_cost,initial_solution_time_ms,ir_solver_arg,iterations_time_ms,iterations_used,makespan,map_name,matrix_file,method,moves_valid,num_pickup_agents,open_max_size,pibt_calls,pibt_failures,pibt_recursions,refinement_input_cost,refinement_time_ms,runtime_ms,scenario,search_mode,search_mode_arg,seed,soc,solution_cost,solution_depth,solution_parent_edge_cost,solved,solver,start_valid,stderr,sum_of_loss,sum_shortest_distances,swap_applied,swap_checks,target_mode,time_limit,timed_out,unique_goal_assignment,valid_instance,valid_solution,wall_time_s
200,1,2,2929,2711,383.352,1,0,14445,3635,0,0,5,4,,634,51,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed29.yaml,h,1.5,0,1,707,3637,2929,2929,0,2,,,,,,7,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed29.matrix,lacam_focal_h,1,,11,706949,0,457,,,9069,fig3_random-64-64-20_random,focal,focal,29,634,632,7,632,1,lacam_tapf,1,,634,612,0,706949,random,10.0,0,1,1,1,9.18149447441101
200,1,1,1625,1077,581.312,1,901,10690,3135,0,0,3,3,,632,107,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed2.yaml,h,1.5,0,1,610,3136,1625,1625,0,1,,,,,,7,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed2.matrix,lacam_focal_h,1,,9,434695,0,22,,,9037,fig3_random-64-64-20_random,focal,focal,2,632,632,7,632,1,lacam_tapf,1,,632,616,4,434695,random,10.0,0,1,1,1,9.160996675491333
200,1,1,2797,2794,2105.88,1,0,16026,3331,0,0,5,3,,617,57,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed18.yaml,h,1.5,0,1,535,3332,2797,2797,0,1,,,,,,5,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed18.matrix,lacam_focal_h,1,,6,650493,0,3355,,,9082,fig3_random-64-64-20_random,focal,focal,18,617,617,5,617,1,lacam_tapf,1,,617,606,1,650493,random,10.0,0,1,1,1,9.30566692352295
200,1,2,3259,3253,904.146,1,0,17015,3746,0,0,7,3,,621,72,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed7.yaml,h,1.5,0,1,488,3748,3259,3259,0,2,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed7.matrix,lacam_focal_h,1,,10,730272,0,9436,,,9073,fig3_random-64-64-20_random,focal,focal,7,620,620,6,620,1,lacam_tapf,1,,620,607,0,730272,random,10.0,0,1,1,1,9.326582908630371
200,1,1,2892,1715,953.9,1,0,12923,3658,0,0,1,1,,629,112,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed4.yaml,h,1.5,0,1,767,3659,2892,2892,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed4.matrix,lacam_focal_h,1,,7,711442,0,3674,,,9066,fig3_random-64-64-20_random,focal,focal,4,629,629,6,629,1,lacam_tapf,1,,629,616,1,711442,random,10.0,0,1,1,1,9.52257251739502
200,1,1,1525,1520,2267.46,1,0,8928,1928,0,0,2,2,,620,127,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed11.yaml,h,1.5,0,1,404,1929,1525,1525,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed11.matrix,lacam_focal_h,1,,7,376168,0,4073,,,9093,fig3_random-64-64-20_random,focal,focal,11,620,620,6,620,1,lacam_tapf,1,,620,607,0,376168,random,10.0,0,1,1,1,9.524639368057251
200,1,1,1975,872,1345.98,1,0,9863,2298,0,0,4,3,,621,181,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed19.yaml,h,1.5,0,1,324,2299,1975,1975,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed19.matrix,lacam_focal_h,1,,7,448044,0,2306,,,9099,fig3_random-64-64-20_random,focal,focal,19,621,621,6,621,1,lacam_tapf,1,,621,613,0,448044,random,10.0,0,1,1,1,9.652821063995361
200,1,2,2351,848,1179.83,1,0,12544,2654,0,0,3,3,,619,72,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed10.yaml,h,1.5,0,1,304,2656,2351,2351,0,2,,,,,,7,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed10.matrix,lacam_focal_h,1,,11,517636,0,2666,,,9121,fig3_random-64-64-20_random,focal,focal,10,618,618,7,618,1,lacam_tapf,1,,618,607,2,517636,random,10.0,0,1,1,1,9.709255695343018
200,1,2,2356,1783,2134.8,1,0,10612,2545,0,0,4,3,,629,65,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed24.yaml,h,1.5,0,1,190,2547,2356,2356,0,2,,,,,,5,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed24.matrix,lacam_focal_h,1,,8,496571,0,3856,,,9113,fig3_random-64-64-20_random,focal,focal,24,628,628,5,628,1,lacam_tapf,1,,628,611,0,496571,random,10.0,0,1,1,1,9.73357892036438
200,1,1,2765,2364,429.007,1,600,18960,4117,0,0,5,3,,625,86,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed16.yaml,h,1.5,0,1,753,4118,2765,2765,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed16.matrix,lacam_focal_h,1,,7,683970,0,44,,,9073,fig3_random-64-64-20_random,focal,focal,16,626,625,6,625,1,lacam_tapf,1,,626,614,0,683970,random,10.0,0,1,1,1,9.705899238586426
200,1,1,1869,1302,630.899,1,0,10686,2350,0,0,5,3,,633,71,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed22.yaml,h,1.5,0,1,482,2351,1869,1869,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed22.matrix,lacam_focal_h,1,,8,458212,2,458,,,9113,fig3_random-64-64-20_random,focal,focal,22,633,633,6,633,1,lacam_tapf,1,,633,612,0,458212,random,10.0,0,1,1,1,9.70677399635315
200,1,1,2379,2376,1334.64,1,0,12335,3084,0,0,14,4,,634,60,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed27.yaml,h,1.5,0,1,706,3085,2379,2379,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed27.matrix,lacam_focal_h,1,,7,600592,0,12461,,,9106,fig3_random-64-64-20_random,focal,focal,27,634,634,6,634,1,lacam_tapf,1,,634,615,0,600592,random,10.0,0,1,1,1,9.743537664413452
200,1,3,1710,1705,7416.21,1,0,8441,1710,0,0,5,2,,619,197,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed9.yaml,h,1.5,0,1,1,1712,1710,1710,0,2,,,,,,4,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed9.matrix,lacam_focal_h,1,,11,334063,0,11989,,,9071,fig3_random-64-64-20_random,focal,focal,9,617,617,4,617,1,lacam_tapf,1,,617,609,0,334063,random,10.0,0,1,1,1,9.743953227996826
200,1,1,3248,2532,742.441,1,0,17238,3824,0,0,4,3,,642,79,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed12.yaml,h,1.5,0,1,577,3825,3248,3248,0,1,,,,,,6,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed12.matrix,lacam_focal_h,1,,7,744442,0,4549,,,9081,fig3_random-64-64-20_random,focal,focal,12,643,642,6,642,1,lacam_tapf,1,,642,605,0,744442,random,10.0,0,1,1,1,9.777588129043579
200,1,3,4092,4085,7332.85,1,0,16713,4091,0,0,6,2,,615,63,build/results/paper_2605_07744_fig3_ir_lacam_10s_adaptive/converted_yaml/fig3_random-64-64-20_random/agents200/prob0.4_dist2_max10/seed17.yaml,h,1.5,0,1,0,4094,4092,4092,0,3,,,,,,4,random-64-64-20,/home/yimin/research/ir-tapf/matrix/random-64-64-20/agents200/prob0.4_dist2_max10/seed17.matrix,lacam_focal_h,1,,10,796091,0,36696,,,9080,fig3_random-64-64-20_random,focal,focal,17,613,613,4,613,1,lacam_tapf,1,,613,605,0,796091,random,10.0,0,1,1,1,9.807061910629272
