case_agents,case_test,collision_free,exit_code,first_error,instance_file,itacbs_TA_runtime_ms,itacbs_firstconflict_runtime_ms,itacbs_lowLevelExpanded,itacbs_lowlevel_search_time_ms,itacbs_newnode_runtime_ms,itacbs_numTaskAssignmentChanged,itacbs_numTaskAssignments,itacbs_total_lowlevel_node,makespan,map_file,num_agents,num_unique_tasks,potential_goals_avg,potential_goals_max,potential_goals_min,runtime_ms,seed,soc,solved,solver,stderr,timed_out,valid_solution,wall_time_s
10,0,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_0.yaml,0.012884999999999999,0.15782000000000002,1409,4.16921,0.000591,0,1,1,48,symbotic.map,10,10,5.0,5,5,4.389620000000001,0,177,1,itacbs,,0,1,0.02021622657775879
10,9,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_9.yaml,0.013215,0.09148300000000001,1242,3.3589,0.000591,0,1,1,27,symbotic.map,10,10,5.0,5,5,3.50974,9,154,1,itacbs,,0,1,0.01306915283203125
10,11,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_11.yaml,0.008265,0.06483299999999999,1289,2.41645,0.00047999999999999996,0,1,1,31,symbotic.map,10,10,5.0,5,5,2.6055200000000003,11,135,1,itacbs,,0,1,0.012660980224609375
10,12,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_12.yaml,0.013936,0.20549,2179,3.8752,0.012455,0,6,7,28,symbotic.map,10,10,5.0,5,5,4.199579999999999,12,135,1,itacbs,,0,1,0.013274908065795898
10,8,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_8.yaml,0.016430999999999998,0.14072800000000002,1419,4.16278,0.0006810000000000001,0,1,1,40,symbotic.map,10,10,5.0,5,5,4.368259999999999,8,195,1,itacbs,,0,1,0.01514291763305664
10,2,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_2.yaml,0.010419,0.080333,1458,2.6809,0.00558,0,3,3,25,symbotic.map,10,10,5.0,5,5,2.8673100000000002,2,166,1,itacbs,,0,1,0.011996746063232422
10,16,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_16.yaml,0.009047,0.134826,1685,3.39788,0.004701,0,1,3,39,symbotic.map,10,10,5.0,5,5,3.60013,16,205,1,itacbs,,0,1,0.012925148010253906
10,17,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_17.yaml,0.012443,0.11393700000000001,1327,3.36594,0.00037,0,1,1,37,symbotic.map,10,10,5.0,5,5,3.52943,17,157,1,itacbs,,0,1,0.01559591293334961
10,6,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_6.yaml,0.011402,0.101282,1668,3.2311900000000002,0.004638000000000001,2,3,3,26,symbotic.map,10,10,5.0,5,5,3.4203900000000003,6,167,1,itacbs,,0,1,0.014897584915161133
10,4,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_4.yaml,0.020579,0.191806,1833,4.683129999999999,0.015920999999999998,1,5,5,28,symbotic.map,10,10,5.0,5,5,5.0256,4,168,1,itacbs,,0,1,0.016058683395385742
10,1,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_1.yaml,0.008476,0.054883999999999995,1106,1.9588100000000002,0.000321,0,1,1,27,symbotic.map,10,10,5.0,5,5,2.05267,1,152,1,itacbs,,0,1,0.011621236801147461
10,15,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_15.yaml,0.015569999999999999,0.22619,1910,3.59166,0.017744000000000003,2,3,7,38,symbotic.map,10,10,5.0,5,5,3.96352,15,248,1,itacbs,,0,1,0.015372514724731445
10,18,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_18.yaml,0.083868,0.471064,5058,8.28695,0.0983,14,59,59,33,symbotic.map,10,10,5.0,5,5,9.31709,18,166,1,itacbs,,0,1,0.019236326217651367
10,14,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_14.yaml,0.012944,0.10929799999999999,1419,3.58386,0.00041,0,1,1,34,symbotic.map,10,10,5.0,5,5,3.74717,14,179,1,itacbs,,0,1,0.015307188034057617
10,13,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_13.yaml,0.009899,0.088869,1391,3.5054600000000002,0.000381,0,1,1,30,symbotic.map,10,10,5.0,5,5,3.64438,13,195,1,itacbs,,0,1,0.01439523696899414
10,3,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_3.yaml,0.011692,0.11204199999999999,1514,3.3352999999999997,0.000671,0,1,1,46,symbotic.map,10,10,5.0,5,5,3.4965,3,196,1,itacbs,,0,1,0.01445770263671875
10,5,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_5.yaml,0.04235,0.46377799999999997,3956,6.92611,0.036548000000000004,4,18,19,32,symbotic.map,10,10,5.0,5,5,7.712949999999999,5,184,1,itacbs,,0,1,0.018912792205810547
10,10,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_10.yaml,0.011412,0.13658,2123,2.6963500000000002,0.0043479999999999994,1,3,3,38,symbotic.map,10,10,5.0,5,5,2.91042,10,197,1,itacbs,,0,1,0.011116504669189453
10,19,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_19.yaml,0.06623699999999999,0.76875,11394,16.1354,0.052028,15,30,31,37,symbotic.map,10,10,5.0,5,5,17.3829,19,217,1,itacbs,,0,1,0.028533935546875
10,7,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_7.yaml,0.153996,2.66658,20716,28.966700000000003,0.176538,19,92,103,46,symbotic.map,10,10,5.0,5,5,33.0379,7,218,1,itacbs,,0,1,0.04218935966491699
20,5,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_5.yaml,0.20006000000000002,3.42485,9760,17.415300000000002,0.544943,0,67,85,33,symbotic.map,20,20,5.0,5,5,22.3689,5,254,1,itacbs,,0,1,0.03407454490661621
20,14,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_14.yaml,0.310979,6.96626,17123,24.8527,0.63468,34,119,135,31,symbotic.map,20,20,5.0,5,5,34.0289,14,380,1,itacbs,,0,1,0.04661059379577637
20,0,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_0.yaml,0.324528,4.19878,15694,25.7348,0.872665,3,149,151,35,symbotic.map,20,20,5.0,5,5,32.31379999999999,0,350,1,itacbs,,0,1,0.04433441162109375
20,17,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_17.yaml,0.669154,22.8719,43128,65.79899999999999,2.24508,43,339,461,31,symbotic.map,20,20,5.0,5,5,96.21589999999999,17,363,1,itacbs,,0,1,0.11010408401489258
20,15,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_15.yaml,0.877775,26.284399999999998,58626,78.1635,2.4871,59,412,529,38,symbotic.map,20,20,5.0,5,5,113.247,15,364,1,itacbs,,0,1,0.12827706336975098
20,2,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_2.yaml,1.15009,35.7712,119850,144.05499999999998,2.8016400000000004,49,473,547,33,symbotic.map,20,20,5.0,5,5,190.525,2,355,1,itacbs,,0,1,0.2051544189453125
20,12,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_12.yaml,2.31322,64.59280000000001,84791,126.90499999999999,6.01559,369,1031,1073,42,symbotic.map,20,20,5.0,5,5,211.824,12,444,1,itacbs,,0,1,0.22784090042114258
30,15,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_15.yaml,0.417142,24.2787,25477,37.9491,1.5343399999999998,30,96,151,37,symbotic.map,30,30,5.0,5,5,66.43939999999999,15,581,1,itacbs,,0,1,0.0829782485961914
20,4,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_4.yaml,2.90598,97.9292,313048,424.27500000000003,8.174330000000001,270,1201,1583,41,symbotic.map,20,20,5.0,5,5,556.827,4,374,1,itacbs,,0,1,0.5775940418243408
30,17,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_17.yaml,5.17419,82.1853,139842,230.1,24.8046,6,1920,2183,51,symbotic.map,30,30,5.0,5,5,374.493,17,511,1,itacbs,,0,1,0.3986833095550537
30,7,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_7.yaml,14.4993,383.077,393574,646.9639999999999,66.5811,653,4450,5171,32,symbotic.map,30,30,5.0,5,5,1195.33,7,499,1,itacbs,,0,1,1.2260971069335938
30,9,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_9.yaml,12.75,416.14099999999996,417263,637.813,71.9219,522,4544,5691,50,symbotic.map,30,30,5.0,5,5,1235.58,9,486,1,itacbs,,0,1,1.2652523517608643
30,13,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_30_test_13.yaml,39.3661,1567.8799999999999,1343886,1826.01,460.673,3407,12053,15585,30,symbotic.map,30,30,5.0,5,5,4071.5399999999995,13,460,1,itacbs,,0,1,4.129164934158325
20,11,1,0,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_11.yaml,35.6869,553.554,2616701,6372.51,2091.11,836,19418,30567,33,symbotic.map,20,20,5.0,5,5,9355.15,11,307,1,itacbs,,0,1,9.410604238510132
20,3,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_3.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,3,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_3.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_3.out.yaml']' timed out after 10.0 seconds",1,0,10.357914447784424
20,10,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_10.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,10,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_10.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_10.out.yaml']' timed out after 10.0 seconds",1,0,10.558674335479736
20,1,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_1.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,1,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_1.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_1.out.yaml']' timed out after 10.0 seconds",1,0,10.658585786819458
20,19,0,124,,build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_19.yaml,,,,,,,,,,symbotic.map,20,20,5.0,5,5,,19,,0,itacbs,"Command '['third_party/ITA-CBS2/build/ITACBS_remake', '-i', 'build/fixtures/symbotic_itacbs_normalized/Paper_symbotic_39_37_gp_5/symbotic_agents_20_test_19.yaml', '-o', 'build/results/symbotic_exp1_exp2_itacbs_10s_adaptive/rows_itacbs_outputs/Paper_symbotic_39_37_gp_5_symbotic_agents_20_test_19.out.yaml']' timed out after 10.0 seconds",1,0,10.66038179397583
