anytime,anytime_cost_updates,assignment_calls,assignment_changes,assignment_time_ms,case_id,collision_free,constraint_failures,constraints_generated,constraints_popped,exit_code,external_timed_out,final_agent_assignment_changes,final_assignment_changes,first_solution_cost,first_solution_time_ms,fixture_file,focal_tie_break,focal_weight,force_full_assignment,goal_valid,hl_duplicate_configs,hl_loop_iterations,hl_nodes_created,hl_nodes_explored,hl_reinsertions,incumbent_updates,makespan,map_file,matrix_file,method,moves_valid,num_agents,num_unique_tasks,open_max_size,pibt_calls,pibt_failures,pibt_recursions,runtime_ms,search_mode,search_mode_arg,seed,soc,solution_cost,solution_depth,solution_parent_edge_cost,solved,solver,start_valid,stderr,suite,sum_of_loss,swap_applied,swap_checks,time_limit,timed_out,unique_goal_assignment,valid_instance,valid_solution,wall_time_s
1,1,49,0,0.1987,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_0,1,0,197,48,0,0,0,0,177,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_0.yaml,h,1.5,0,1,0,49,49,49,0,1,48,,,lacam_focal_h,1,10,,49,480,0,0,0,focal,focal,0,177,177,48,177,1,lacam_tapf,1,,exp1,177,0,480,10.0,0,1,1,1,0.006706714630126953
1,10,29,0,0.255344,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_1,1,0,121,29,0,0,0,0,154,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_1.yaml,h,1.5,0,1,1,31,29,29,0,1,27,,,lacam_focal_h,1,10,,29,289,0,1,0,focal,focal,1,152,152,27,152,1,lacam_tapf,1,,exp1,152,0,289,10.0,0,1,1,1,0.007745027542114258
1,1,49,0,0.333605,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_0,1,0,197,48,0,0,0,0,177,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_0.yaml,h,1.5,0,1,0,49,49,49,0,1,48,,,lacam_dfs,1,10,,49,480,0,0,0,dfs,dfs,0,177,177,48,177,1,lacam_tapf,1,,exp1,177,0,480,10.0,0,1,1,1,0.009634733200073242
1,10,29,0,0.191045,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_1,1,0,121,29,0,0,0,0,154,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_1.yaml,h,1.5,0,1,1,41,29,29,0,1,27,,,lacam_dfs,1,10,,28,289,0,1,0,dfs,dfs,1,152,152,27,152,1,lacam_tapf,1,,exp1,152,0,289,10.0,0,1,1,1,0.008229255676269531
1,1,39,0,0.29461,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_3,1,0,155,38,0,0,0,0,196,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_3.yaml,h,1.5,0,1,0,39,39,39,0,1,38,,,lacam_dfs,1,10,,39,380,0,0,0,dfs,dfs,3,196,196,38,196,1,lacam_tapf,1,,exp1,196,0,380,10.0,0,1,1,1,0.008543252944946289
1,2,52,1,0.318957,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_6,1,0,175,51,0,0,2,1,205,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_6.yaml,h,1.5,0,1,0,53,52,52,0,2,27,,,lacam_focal_h,1,10,,52,499,0,1,0,focal,focal,6,170,167,27,167,1,lacam_tapf,1,,exp1,170,10,499,10.0,0,1,1,1,0.008882284164428711
1,1,39,0,0.3785,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_3,1,0,155,38,0,0,0,0,196,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_3.yaml,h,1.5,0,1,0,39,39,39,0,1,38,,,lacam_focal_h,1,10,,39,380,0,0,0,focal,focal,3,196,196,38,196,1,lacam_tapf,1,,exp1,196,0,380,10.0,0,1,1,1,0.009660959243774414
1,1,35,0,0.171069,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_14,1,0,141,34,0,0,0,0,179,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_14.yaml,h,1.5,0,1,0,35,35,35,0,1,34,,,lacam_focal_h,1,10,,35,340,0,2,0,focal,focal,14,179,179,34,179,1,lacam_tapf,1,,exp1,179,0,340,10.0,0,1,1,1,0.0070803165435791016
1,1,25,0,0.158819,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_9,1,0,89,24,0,0,0,0,154,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_9.yaml,h,1.5,0,1,0,25,25,25,0,1,24,,,lacam_focal_h,1,10,,25,240,0,0,0,focal,focal,9,154,154,24,154,1,lacam_tapf,1,,exp1,154,0,240,10.0,0,1,1,1,0.009607315063476562
1,1,25,0,0.348071,Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_9,1,0,89,24,0,0,0,0,154,0,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_10_test_9.yaml,h,1.5,0,1,0,25,25,25,0,1,24,,,lacam_dfs,1,10,,25,240,0,0,0,dfs,dfs,9,154,154,24,154,1,lacam_tapf,1,,exp1,154,0,240,10.0,0,1,1,1,0.010258913040161133
