anytime,anytime_cost_updates,assignment_calls,assignment_changes,assignment_time_ms,case_id,collision_free,constraint_failures,constraints_generated,constraints_popped,exit_code,external_timed_out,final_agent_assignment_changes,final_assignment_changes,final_goals,first_solution_cost,first_solution_time_ms,fixture_file,focal_tie_break,focal_weight,force_full_assignment,goal_valid,hl_duplicate_configs,hl_loop_iterations,hl_nodes_created,hl_nodes_explored,hl_reinsertions,incumbent_updates,initial_solution_cost,initial_solution_time_ms,ir_solver_arg,iterations_time_ms,iterations_used,makespan,map_file,matrix_file,method,moves_valid,num_agents,num_unique_tasks,open_max_size,pibt_calls,pibt_failures,pibt_recursions,refinement_input_cost,refinement_time_ms,runtime_ms,search_mode,search_mode_arg,seed,soc,solution_cost,solution_depth,solution_parent_edge_cost,solved,solver,start_valid,stderr,suite,sum_of_loss,sum_shortest_distances,swap_applied,swap_checks,time_limit,timed_out,unique_goal_assignment,valid_instance,valid_solution,wall_time_s
1,1,13,0,2.76836,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_2,1,0,44,12,0,0,0,0,,95,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_2.yaml,h,1.5,0,1,0,13,13,13,0,1,,,,,,12,,,lacam_dfs,1,15,,13,180,0,0,,,3,dfs,dfs,2,95,95,12,95,1,lacam_tapf,1,,exp2,95,,0,180,10.0,0,1,1,1,0.016085147857666016
1,1,13,0,2.51764,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_2,1,0,44,12,0,0,0,0,,95,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_2.yaml,h,1.5,0,1,0,13,13,13,0,1,,,,,,12,,,lacam_focal_h,1,15,,13,180,0,0,,,3,focal,focal,2,95,95,12,95,1,lacam_tapf,1,,exp2,95,,0,180,10.0,0,1,1,1,0.017086029052734375
1,1,15,0,2.23808,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_6,1,0,63,14,0,0,0,0,,104,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_6.yaml,h,1.5,0,1,0,15,15,15,0,1,,,,,,14,,,lacam_focal_h,1,15,,15,210,0,1,,,3,focal,focal,6,104,104,14,104,1,lacam_tapf,1,,exp2,104,,0,210,10.0,0,1,1,1,0.016789913177490234
1,1,15,0,2.47563,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_6,1,0,63,14,0,0,0,0,,104,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_6.yaml,h,1.5,0,1,0,15,15,15,0,1,,,,,,14,,,lacam_dfs,1,15,,15,210,0,1,,,3,dfs,dfs,6,104,104,14,104,1,lacam_tapf,1,,exp2,104,,0,210,10.0,0,1,1,1,0.017058372497558594
1,1,15,0,2.62963,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_16,1,0,52,14,0,0,0,0,,120,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_16.yaml,h,1.5,0,1,0,15,15,15,0,1,,,,,,14,,,lacam_dfs,1,15,,15,210,0,0,,,3,dfs,dfs,16,120,120,14,120,1,lacam_tapf,1,,exp2,120,,0,210,10.0,0,1,1,1,0.017948389053344727
1,1,20,0,3.24524,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_18,1,0,79,19,0,0,0,0,,127,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_18.yaml,h,1.5,0,1,0,20,20,20,0,1,,,,,,19,,,lacam_focal_h,1,15,,20,285,0,0,,,4,focal,focal,18,127,127,19,127,1,lacam_tapf,1,,exp2,127,,0,285,10.0,0,1,1,1,0.01951289176940918
1,1,20,0,2.95172,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_18,1,0,79,19,0,0,0,0,,127,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_18.yaml,h,1.5,0,1,0,20,20,20,0,1,,,,,,19,,,lacam_dfs,1,15,,20,285,0,0,,,4,dfs,dfs,18,127,127,19,127,1,lacam_tapf,1,,exp2,127,,0,285,10.0,0,1,1,1,0.02035236358642578
1,1,15,0,4.03086,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_16,1,0,52,14,0,0,0,0,,120,7,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_16.yaml,h,1.5,0,1,0,15,15,15,0,1,,,,,,14,,,lacam_focal_h,1,15,,15,210,0,0,,,7,focal,focal,16,120,120,14,120,1,lacam_tapf,1,,exp2,120,,0,210,10.0,0,1,1,1,0.03652524948120117
1,1,8902,1384,165.058,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_0,1,794,43554,12045,0,0,1,1,,130,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_0.yaml,h,1.5,0,1,2350,12046,8902,8902,0,1,,,,,,17,,,lacam_focal_h,1,15,,19,97852,0,36,,,9086,focal,focal,0,135,130,17,130,1,lacam_tapf,1,,exp2,130,,0,97852,10.0,0,1,1,1,9.114242315292358
1,1,7209,0,146.377,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_1,1,0,35940,9604,0,0,0,0,,125,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_1.yaml,h,1.5,0,1,2396,9611,7209,7209,0,1,,,,,,19,,,lacam_dfs,1,15,,20,86457,0,3,,,9096,dfs,dfs,1,136,125,19,125,1,lacam_tapf,1,,exp2,125,,0,86457,10.0,0,1,1,1,9.133159637451172
1,1,7571,0,143.365,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_1,1,0,38660,10148,0,0,0,0,,125,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_1.yaml,h,1.5,0,1,2578,10149,7571,7571,0,1,,,,,,19,,,lacam_focal_h,1,15,,21,90809,0,3,,,9107,focal,focal,1,136,125,19,125,1,lacam_tapf,1,,exp2,125,,0,90809,10.0,0,1,1,1,9.147875785827637
1,3,8375,1482,184.85,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_3,1,0,49423,10407,0,0,1,1,,118,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_3.yaml,h,1.5,0,1,2033,10442,8375,8375,0,2,,,,,,17,,,lacam_dfs,1,15,,19,87254,0,2009,,,9108,dfs,dfs,3,116,116,17,116,1,lacam_tapf,1,,exp2,116,,0,87254,10.0,0,1,1,1,9.149263858795166
1,1,8758,720,154.532,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_14,1,2536,66171,14174,0,0,0,0,,130,6,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_14.yaml,h,1.5,0,1,2881,14185,8758,8758,0,1,,,,,,21,,,lacam_dfs,1,15,,22,99561,0,28,,,9094,dfs,dfs,14,135,130,21,130,1,lacam_tapf,1,,exp2,130,,0,99561,10.0,0,1,1,1,9.143860340118408
1,1,8711,2886,158.064,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_4,1,135,49769,12226,0,0,2,1,,127,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_4.yaml,h,1.5,0,1,3381,12232,8711,8711,0,1,,,,,,17,,,lacam_dfs,1,15,,18,99055,0,10,,,9106,dfs,dfs,4,136,127,17,127,1,lacam_tapf,1,,exp2,136,,0,99055,10.0,0,1,1,1,9.160034656524658
1,1,6938,1,129.737,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_19,1,4647,45221,14905,0,0,1,1,,116,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_19.yaml,h,1.5,0,1,3321,14906,6938,6938,0,1,,,,,,18,,,lacam_focal_h,1,15,,50,83788,0,1,,,9091,focal,focal,19,116,116,18,116,1,lacam_tapf,1,,exp2,116,,40,83788,10.0,0,1,1,1,9.140294551849365
1,1,8869,501,153.618,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_12,1,1296,51902,13240,0,0,0,0,,136,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_12.yaml,h,1.5,0,1,3076,13241,8869,8869,0,1,,,,,,17,,,lacam_focal_h,1,15,,19,97507,0,11,,,9097,focal,focal,12,138,136,17,136,1,lacam_tapf,1,,exp2,136,,0,97507,10.0,0,1,1,1,9.153446912765503
1,1,8870,1352,156.636,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_0,1,759,43296,11959,0,0,1,1,,130,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_0.yaml,h,1.5,0,1,2331,11969,8870,8870,0,1,,,,,,17,,,lacam_dfs,1,15,,18,97444,0,36,,,9117,dfs,dfs,0,135,130,17,130,1,lacam_tapf,1,,exp2,130,,0,97444,10.0,0,1,1,1,9.167092323303223
1,1,8552,2869,157.855,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_4,1,135,49172,12027,0,0,2,1,,127,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_4.yaml,h,1.5,0,1,3341,12028,8552,8552,0,1,,,,,,17,,,lacam_focal_h,1,15,,19,97662,0,10,,,9114,focal,focal,4,136,127,17,127,1,lacam_tapf,1,,exp2,136,,0,97662,10.0,0,1,1,1,9.170783519744873
1,1,8796,1761,261.15,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_10,1,0,46679,10874,0,0,0,0,,138,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_10.yaml,h,1.5,0,1,2079,10894,8796,8796,0,1,,,,,,25,,,lacam_dfs,1,15,,26,96002,0,7044,,,9116,dfs,dfs,10,138,138,25,138,1,lacam_tapf,1,,exp2,138,,0,96002,10.0,0,1,1,1,9.1759512424469
1,1,9055,0,157.617,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_7,1,2700,49791,15075,0,0,0,0,,144,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_7.yaml,h,1.5,0,1,3321,15076,9055,9055,0,1,,,,,,20,,,lacam_focal_h,1,15,,22,105449,0,4,,,9118,focal,focal,7,149,144,20,144,1,lacam_tapf,1,,exp2,144,,0,105449,10.0,0,1,1,1,9.182647228240967
1,1,9501,3160,351.457,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_17,1,0,34615,11090,0,0,1,1,,122,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_17.yaml,h,1.5,0,1,1590,11091,9501,9501,0,1,,,,,,15,,,lacam_focal_h,1,15,,16,94987,0,24,,,9105,focal,focal,17,122,122,15,122,1,lacam_tapf,1,,exp2,122,,0,94987,10.0,0,1,1,1,9.168445110321045
1,1,8353,13,136.149,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_19,1,2151,47128,15622,0,0,1,1,,116,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_19.yaml,h,1.5,0,1,5119,15630,8353,8353,0,1,,,,,,18,,,lacam_dfs,1,15,,19,106339,0,6,,,9108,dfs,dfs,19,116,116,18,116,1,lacam_tapf,1,,exp2,116,,71,106339,10.0,0,1,1,1,9.169614315032959
1,1,8129,720,140.136,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_14,1,2480,61696,13279,0,0,0,0,,130,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_14.yaml,h,1.5,0,1,2671,13280,8129,8129,0,1,,,,,,21,,,lacam_focal_h,1,15,,22,92849,0,28,,,9109,focal,focal,14,135,130,21,130,1,lacam_tapf,1,,exp2,130,,0,92849,10.0,0,1,1,1,9.178571224212646
1,8,8417,4631,176.543,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_9,1,964,57529,12071,0,0,0,0,,135,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_9.yaml,h,1.5,0,1,2691,12072,8417,8417,0,1,,,,,,18,,,lacam_focal_h,1,15,,25,87957,0,47,,,9120,focal,focal,9,133,133,18,133,1,lacam_tapf,1,,exp2,133,,0,87957,10.0,0,1,1,1,9.185604095458984
1,1,9641,0,141.467,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_7,1,2700,52137,15857,0,0,0,0,,144,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_7.yaml,h,1.5,0,1,3517,15866,9641,9641,0,1,,,,,,20,,,lacam_dfs,1,15,,21,111705,0,4,,,9124,dfs,dfs,7,149,144,20,144,1,lacam_tapf,1,,exp2,144,,0,111705,10.0,0,1,1,1,9.191012859344482
1,1,9853,0,187.536,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_8,1,0,41066,12101,0,0,0,0,,151,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_8.yaml,h,1.5,0,1,2249,12109,9853,9853,0,1,,,,,,16,,,lacam_dfs,1,15,,17,112444,0,12,,,9120,dfs,dfs,8,158,151,16,151,1,lacam_tapf,1,,exp2,151,,0,112444,10.0,0,1,1,1,9.191516637802124
1,3,9346,1671,178.849,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_3,1,26,55603,11643,0,0,1,1,,118,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_3.yaml,h,1.5,0,1,2272,11645,9346,9346,0,2,,,,,,17,,,lacam_focal_h,1,15,,40,96795,0,2190,,,9134,focal,focal,3,116,116,17,116,1,lacam_tapf,1,,exp2,116,,0,96795,10.0,0,1,1,1,9.20158052444458
1,1,8566,0,206.236,paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_1,1,4913,77332,16226,0,0,0,0,,147,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_1.yaml,h,1.5,0,1,2748,16227,8566,8566,0,1,,,,,,20,,,lacam_focal_h,1,20,,22,154783,0,151,,,9092,focal,focal,1,156,147,20,147,1,lacam_tapf,1,,exp2,147,,0,154783,10.0,0,1,1,1,9.170551300048828
1,1,10555,0,177.037,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_8,1,0,43652,12963,0,0,0,0,,151,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_8.yaml,h,1.5,0,1,2409,12964,10555,10555,0,1,,,,,,16,,,lacam_focal_h,1,15,,18,119887,0,12,,,9142,focal,focal,8,158,151,16,151,1,lacam_tapf,1,,exp2,151,,0,119887,10.0,0,1,1,1,9.208272695541382
1,1,9541,725,147.239,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_12,1,1480,55142,14320,0,0,0,0,,136,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_12.yaml,h,1.5,0,1,3300,14326,9541,9541,0,1,,,,,,17,,,lacam_dfs,1,15,,18,103779,0,11,,,9134,dfs,dfs,12,138,136,17,136,1,lacam_tapf,1,,exp2,136,,0,103779,10.0,0,1,1,1,9.206370830535889
1,1,10528,2111,252.026,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_10,1,0,52964,12969,0,0,0,0,,138,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_10.yaml,h,1.5,0,1,2442,12970,10528,10528,0,1,,,,,,25,,,lacam_focal_h,1,15,,26,112762,0,7044,,,9130,focal,focal,10,138,138,25,138,1,lacam_tapf,1,,exp2,138,,0,112762,10.0,0,1,1,1,9.208690881729126
1,14,7489,53,163.563,paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_2,1,10123,76220,21712,0,0,1,1,,193,6,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_2.yaml,h,1.5,0,1,4101,21715,7489,7489,0,3,,,,,,20,,,lacam_focal_h,1,20,,45,144411,0,200,,,9099,focal,focal,2,187,187,20,187,1,lacam_tapf,1,,exp2,187,,0,144411,10.0,0,1,1,1,9.174467086791992
1,1,10294,2592,225.348,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_11,1,0,45179,12056,0,0,0,0,,133,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_11.yaml,h,1.5,0,1,1763,12057,10294,10294,0,1,,,,,,15,,,lacam_focal_h,1,15,,16,108346,0,19,,,9139,focal,focal,11,133,133,15,133,1,lacam_tapf,1,,exp2,133,,0,108346,10.0,0,1,1,1,9.207891702651978
1,1,10650,3603,328.54,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_17,1,0,38785,12480,0,0,1,1,,122,2,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_17.yaml,h,1.5,0,1,1831,12495,10650,10650,0,1,,,,,,15,,,lacam_dfs,1,15,,16,106107,0,24,,,9128,dfs,dfs,17,122,122,15,122,1,lacam_tapf,1,,exp2,122,,0,106107,10.0,0,1,1,1,9.196669578552246
1,1,17,0,5.89773,paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_8,1,0,64,16,0,0,0,0,,148,9,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_8.yaml,h,1.5,0,1,0,17,17,17,0,1,,,,,,16,,,lacam_dfs,1,20,,17,320,0,0,,,9,dfs,dfs,8,148,148,16,148,1,lacam_tapf,1,,exp2,148,,0,320,10.0,0,1,1,1,0.02946758270263672
1,1,17,0,2.92058,paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_8,1,0,64,16,0,0,0,0,,148,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_8.yaml,h,1.5,0,1,0,17,17,17,0,1,,,,,,16,,,lacam_focal_h,1,20,,17,320,0,0,,,4,focal,focal,8,148,148,16,148,1,lacam_tapf,1,,exp2,148,,0,320,10.0,0,1,1,1,0.028377532958984375
1,1,10650,2491,165.901,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_15,1,0,64977,13185,0,0,2,1,,141,3,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_15.yaml,h,1.5,0,1,2536,13186,10650,10650,0,1,,,,,,20,,,lacam_focal_h,1,15,,21,109607,0,22,,,9138,focal,focal,15,142,141,20,141,1,lacam_tapf,1,,exp2,142,,0,109607,10.0,0,1,1,1,9.212127923965454
1,1,9261,0,196.645,paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_1,1,5151,82897,17339,0,0,0,0,,147,5,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_20_test_1.yaml,h,1.5,0,1,2928,17351,9261,9261,0,1,,,,,,20,,,lacam_dfs,1,20,,21,166158,0,151,,,9119,dfs,dfs,1,156,147,20,147,1,lacam_tapf,1,,exp2,147,,0,166158,10.0,0,1,1,1,9.195520877838135
1,1,11369,0,365.772,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_5,1,6372,70062,19234,0,0,0,0,,152,4,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_5.yaml,h,1.5,0,1,1494,19235,11369,11369,0,1,,,,,,24,,,lacam_focal_h,1,15,,25,91002,0,12840,,,9153,focal,focal,5,152,152,24,152,1,lacam_tapf,1,,exp2,152,,0,91002,10.0,0,1,1,1,9.22599458694458
1,1,12039,0,285.305,paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_13,1,1566,68046,14758,0,0,0,0,,122,5,/media/project0/yimin/lacam_tapf_itacbs_data/paper_symbotic_39_37_ratio_000/symbotic_agents_15_test_13.yaml,h,1.5,0,1,1154,14771,12039,12039,0,1,,,,,,15,,,lacam_dfs,1,15,,16,104365,0,5,,,9147,dfs,dfs,13,122,122,15,122,1,lacam_tapf,1,,exp2,122,,0,104365,10.0,0,1,1,1,9.219064235687256
